Algorithm	ReductionPercentage	PreparationTime	SelectionTime
FAST-all	1	12979.293311	23.75468902
FAST-all	2	12979.293311	23.19698944
FAST-all	3	12979.293311	23.65901642
FAST-all	4	12979.293311	23.77576482
FAST-all	5	12979.293311	24.15873504
FAST-all	6	12979.293311	24.79959548
FAST-all	7	12979.293311	24.74138506
FAST-all	8	12979.293311	24.85757714
FAST-all	9	12979.293311	25.25016888
FAST-all	10	12979.293311	25.01630436
FAST-all	11	12979.293311	25.11327838
FAST-all	12	12979.293311	25.53656074
FAST-all	13	12979.293311	25.85690712
FAST-all	14	12979.293311	25.31763218
FAST-all	15	12979.293311	25.59832108
FAST-all	16	12979.293311	25.59035856
FAST-all	17	12979.293311	25.36878206
FAST-all	18	12979.293311	25.35693986
FAST-all	19	12979.293311	25.74860738
FAST-all	20	12979.293311	25.55995364
FAST-all	21	12979.293311	25.33950228
FAST-all	22	12979.293311	25.64175884
FAST-all	23	12979.293311	25.54869454
FAST-all	24	12979.293311	25.1452183
FAST-all	25	12979.293311	25.12176984
FAST-all	26	12979.293311	24.7135165
FAST-all	27	12979.293311	24.40397094
FAST-all	28	12979.293311	24.547226
FAST-all	29	12979.293311	23.96413596
FAST-all	30	12979.293311	24.16807464
FAST-pw	1	12979.293311	25672.056838
FAST-pw	2	12979.293311	38153.992664
FAST-pw	3	12979.293311	50470.017794
FAST-pw	4	12979.293311	62706.986759
FAST-pw	5	12979.293311	74903.939646
FAST-pw	6	12979.293311	86900.775378
FAST-pw	7	12979.293311	98822.536347
FAST-pw	8	12979.293311	110532.7429
FAST-pw	9	12979.293311	122120.922542
FAST-pw	10	12979.293311	133595.673752
FAST-pw	11	12979.293311	144983.28983
FAST-pw	12	12979.293311	156246.058195
FAST-pw	13	12979.293311	167370.025174
FAST-pw	14	12979.293311	178770.737262
FAST-pw	15	12979.293311	189829.367446
FAST-pw	16	12979.293311	200525.586295
FAST-pw	17	12979.293311	211093.998506
FAST-pw	18	12979.293311	221650.186533
FAST-pw	19	12979.293311	232065.678664
FAST-pw	20	12979.293311	242374.833226
FAST-pw	21	12979.293311	252564.00999
FAST-pw	22	12979.293311	262641.890233
FAST-pw	23	12979.293311	272568.5011
FAST-pw	24	12979.293311	282279.417264
FAST-pw	25	12979.293311	291901.233255
FAST-pw	26	12979.293311	301392.713208
FAST-pw	27	12979.293311	310751.670698
FAST-pw	28	12979.293311	319976.879672
FAST-pw	29	12979.293311	329064.803411
FAST-pw	30	12979.293311	329064.803411
FAST-CS	1	314.42894	8.9468364
FAST-CS	2	314.42894	8.87834766
FAST-CS	3	314.42894	8.91486836
FAST-CS	4	314.42894	8.91744026
FAST-CS	5	314.42894	8.89704768
FAST-CS	6	314.42894	9.18906234
FAST-CS	7	314.42894	9.53135244
FAST-CS	8	314.42894	9.7560752
FAST-CS	9	314.42894	9.52445558
FAST-CS	10	314.42894	9.59502378
FAST-CS	11	314.42894	9.68268322
FAST-CS	12	314.42894	9.708943
FAST-CS	13	314.42894	9.63760516
FAST-CS	14	314.42894	9.72951854
FAST-CS	15	314.42894	9.76079778
FAST-CS	16	314.42894	9.774329
FAST-CS	17	314.42894	9.69049764
FAST-CS	18	314.42894	9.78895366
FAST-CS	19	314.42894	9.7373425
FAST-CS	20	314.42894	9.66903914
FAST-CS	21	314.42894	9.74052332
FAST-CS	22	314.42894	9.61303058
FAST-CS	23	314.42894	9.75160496
FAST-CS	24	314.42894	9.6560031
FAST-CS	25	314.42894	9.43369742
FAST-CS	26	314.42894	9.33116282
FAST-CS	27	314.42894	9.15672906
FAST-CS	28	314.42894	9.0382886
FAST-CS	29	314.42894	8.88095206
FAST-CS	30	314.42894	8.72145238
FAST++	1	314.42894	4693.799896
FAST++	2	314.42894	9282.888777
FAST++	3	314.42894	13765.979339
FAST++	4	314.42894	18078.157862
FAST++	5	314.42894	22283.440156
FAST++	6	314.42894	26400.816995
FAST++	7	314.42894	30448.852869
FAST++	8	314.42894	34379.737759
FAST++	9	314.42894	38204.545658
FAST++	10	314.42894	41863.385401
FAST++	11	314.42894	45434.546107
FAST++	12	314.42894	48917.47909
FAST++	13	314.42894	52233.180788
FAST++	14	314.42894	55450.002974
FAST++	15	314.42894	58543.801709
FAST++	16	314.42894	61500.662356
FAST++	17	314.42894	64349.389538
FAST++	18	314.42894	67087.781254
FAST++	19	314.42894	70505.908721
FAST++	20	314.42894	73927.891978
FAST++	21	314.42894	77223.923923
FAST++	22	314.42894	80387.714979
FAST++	23	314.42894	83420.501448
FAST++	24	314.42894	86369.402889
FAST++	25	314.42894	89172.625175
FAST++	26	314.42894	91889.817382
FAST++	27	314.42894	94488.996687
FAST++	28	314.42894	96736.424111
FAST++	29	314.42894	98860.169942
FAST++	30	314.42894	100859.404256
